"scope","repetition","profile_id","step","purpose","seed"
"physics_profile",,1,,"seed_uW",1446696410
"physics_profile",,1,,"seed_sW",1446696148
"physics_profile",,1,,"seed_uH",1446696395
"physics_profile",,1,,"seed_sH",1446696133
"physics_profile",,2,,"seed_uW",1448944501
"physics_profile",,2,,"seed_sW",1448944239
"physics_profile",,2,,"seed_uH",1448944486
"physics_profile",,2,,"seed_sH",1448944224
"physics_profile",,3,,"seed_uW",1451192592
"physics_profile",,3,,"seed_sW",1451192330
"physics_profile",,3,,"seed_uH",1451192577
"physics_profile",,3,,"seed_sH",1451192315
"physics_profile",,4,,"seed_uW",1453440683
"physics_profile",,4,,"seed_sW",1453440421
"physics_profile",,4,,"seed_uH",1453440668
"physics_profile",,4,,"seed_sH",1453440406
"physics_profile",,5,,"seed_uW",1455688774
"physics_profile",,5,,"seed_sW",1455688512
"physics_profile",,5,,"seed_uH",1455688759
"physics_profile",,5,,"seed_sH",1455688497
"profile_assignment",,,,"balanced_assignment",1092528774
"initial_test",1,4,,"initial_common_test",2134030465
"reversal_test",1,4,,"heldout_reversal_pairs",826589233
"initial_test",2,2,,"initial_common_test",2134030466
"reversal_test",2,2,,"heldout_reversal_pairs",826589234
"initial_test",3,1,,"initial_common_test",2134030467
"reversal_test",3,1,,"heldout_reversal_pairs",826589235
"initial_test",4,3,,"initial_common_test",2134030468
"reversal_test",4,3,,"heldout_reversal_pairs",826589236
"initial_test",5,3,,"initial_common_test",2134030469
"reversal_test",5,3,,"heldout_reversal_pairs",826589237
"initial_test",6,1,,"initial_common_test",2134030470
"reversal_test",6,1,,"heldout_reversal_pairs",826589238
"initial_test",7,3,,"initial_common_test",2134030471
"reversal_test",7,3,,"heldout_reversal_pairs",826589239
"initial_test",8,2,,"initial_common_test",2134030472
"reversal_test",8,2,,"heldout_reversal_pairs",826589240
"initial_test",9,2,,"initial_common_test",2134030473
"reversal_test",9,2,,"heldout_reversal_pairs",826589241
"initial_test",10,3,,"initial_common_test",385119063
"reversal_test",10,3,,"heldout_reversal_pairs",909007991
"initial_test",11,4,,"initial_common_test",385119064
"reversal_test",11,4,,"heldout_reversal_pairs",909007992
"initial_test",12,1,,"initial_common_test",385119065
"reversal_test",12,1,,"heldout_reversal_pairs",909007993
"initial_test",13,1,,"initial_common_test",385119066
"reversal_test",13,1,,"heldout_reversal_pairs",909007994
"initial_test",14,3,,"initial_common_test",385119067
"reversal_test",14,3,,"heldout_reversal_pairs",909007995
"initial_test",15,4,,"initial_common_test",385119068
"reversal_test",15,4,,"heldout_reversal_pairs",909007996
"initial_test",16,2,,"initial_common_test",385119069
