"profile_id","hole","uW","sW","uH","sH","tau_H","typical_gap","seed_uW","seed_sW","seed_uH","seed_sH"
1,1,0.944102739789138,1.4599717867294,1.4599717867294,0.75444628720372,2.47564348156644,0.883,1446696410,1446696148,1446696395,1446696133
1,2,0.649484156830289,1.00437008064582,0.885632031959038,0.824767966196445,2.47564348156644,0.883,1446696410,1446696148,1446696395,1446696133
1,3,0.75444628720372,0.885632031959038,0.824767966196445,1.4599717867294,2.47564348156644,0.883,1446696410,1446696148,1446696395,1446696133
1,4,1.1496912874452,1.07068004620661,0.649484156830289,1.1496912874452,2.47564348156644,0.883,1446696410,1446696148,1446696395,1446696133
1,5,1.4599717867294,1.1496912874452,1.25685361699435,0.885632031959038,2.47564348156644,0.883,1446696410,1446696148,1446696395,1446696133
1,6,0.824767966196445,0.649484156830289,0.75444628720372,0.649484156830289,2.47564348156644,0.883,1446696410,1446696148,1446696395,1446696133
1,7,1.07068004620661,0.944102739789138,0.944102739789138,1.07068004620661,2.47564348156644,0.883,1446696410,1446696148,1446696395,1446696133
1,8,1.00437008064582,0.75444628720372,1.00437008064582,1.00437008064582,2.47564348156644,0.883,1446696410,1446696148,1446696395,1446696133
1,9,0.885632031959038,0.824767966196445,1.1496912874452,0.944102739789138,2.47564348156644,0.883,1446696410,1446696148,1446696395,1446696133
1,10,1.25685361699435,1.25685361699435,1.07068004620661,1.25685361699435,2.47564348156644,0.883,1446696410,1446696148,1446696395,1446696133
2,1,0.885632031959038,0.75444628720372,0.885632031959038,0.885632031959038,2.47564348156644,0.883,1448944501,1448944239,1448944486,1448944224
2,2,1.25685361699435,1.00437008064582,0.649484156830289,0.75444628720372,2.47564348156644,0.883,1448944501,1448944239,1448944486,1448944224
2,3,1.1496912874452,0.944102739789138,1.07068004620661,0.649484156830289,2.47564348156644,0.883,1448944501,1448944239,1448944486,1448944224
2,4,0.649484156830289,1.07068004620661,1.25685361699435,0.824767966196445,2.47564348156644,0.883,1448944501,1448944239,1448944486,1448944224
2,5,0.944102739789138,0.824767966196445,0.824767966196445,1.00437008064582,2.47564348156644,0.883,1448944501,1448944239,1448944486,1448944224
2,6,0.75444628720372,0.649484156830289,0.944102739789138,1.07068004620661,2.47564348156644,0.883,1448944501,1448944239,1448944486,1448944224
2,7,0.824767966196445,1.25685361699435,1.4599717867294,1.25685361699435,2.47564348156644,0.883,1448944501,1448944239,1448944486,1448944224
2,8,1.4599717867294,1.4599717867294,0.75444628720372,1.1496912874452,2.47564348156644,0.883,1448944501,1448944239,1448944486,1448944224
2,9,1.00437008064582,1.1496912874452,1.1496912874452,0.944102739789138,2.47564348156644,0.883,1448944501,1448944239,1448944486,1448944224
2,10,1.07068004620661,0.885632031959038,1.00437008064582,1.4599717867294,2.47564348156644,0.883,1448944501,1448944239,1448944486,1448944224
3,1,1.25685361699435,1.25685361699435,0.944102739789138,0.885632031959038,2.47564348156644,0.883,1451192592,1451192330,1451192577,1451192315
3,2,0.944102739789138,1.1496912874452,0.75444628720372,0.75444628720372,2.47564348156644,0.883,1451192592,1451192330,1451192577,1451192315
3,3,0.649484156830289,0.649484156830289,0.649484156830289,1.00437008064582,2.47564348156644,0.883,1451192592,1451192330,1451192577,1451192315
3,4,0.75444628720372,0.75444628720372,0.885632031959038,0.649484156830289,2.47564348156644,0.883,1451192592,1451192330,1451192577,1451192315
3,5,1.00437008064582,0.944102739789138,0.824767966196445,1.07068004620661,2.47564348156644,0.883,1451192592,1451192330,1451192577,1451192315
3,6,1.4599717867294,1.00437008064582,1.1496912874452,1.4599717867294,2.47564348156644,0.883,1451192592,1451192330,1451192577,1451192315
3,7,1.1496912874452,1.07068004620661,1.25685361699435,0.944102739789138,2.47564348156644,0.883,1451192592,1451192330,1451192577,1451192315
3,8,1.07068004620661,0.885632031959038,1.00437008064582,1.1496912874452,2.47564348156644,0.883,1451192592,1451192330,1451192577,1451192315
3,9,0.824767966196445,0.824767966196445,1.07068004620661,1.25685361699435,2.47564348156644,0.883,1451192592,1451192330,1451192577,1451192315
3,10,0.885632031959038,1.4599717867294,1.4599717867294,0.824767966196445,2.47564348156644,0.883,1451192592,1451192330,1451192577,1451192315
4,1,1.00437008064582,1.1496912874452,1.25685361699435,1.07068004620661,2.47564348156644,0.883,1453440683,1453440421,1453440668,1453440406
4,2,0.824767966196445,0.649484156830289,0.944102739789138,1.4599717867294,2.47564348156644,0.883,1453440683,1453440421,1453440668,1453440406
4,3,1.25685361699435,0.824767966196445,0.824767966196445,0.649484156830289,2.47564348156644,0.883,1453440683,1453440421,1453440668,1453440406
